Synonyms	Symbol	Chromosome
2F1	SLC25A5	X
AAC2	SLC25A5	X
ANT2	SLC25A5	X
T2	SLC25A5	X
T3	SLC25A5	X
SLC25A6	SLC25A6	X|Y
AAC3	SLC25A6	X|Y
ANT	SLC25A6	X|Y
ANT 2	SLC25A6	X|Y
ANT 3	SLC25A6	X|Y
ANT3	SLC25A6	X|Y
ANT3Y	SLC25A6	X|Y
ANXA1	ANXA1	9
ANX1	ANXA1	9
LPC1	ANXA1	9
ANXA2	ANXA2	15
ANX2	ANXA2	15
ANX2L4	ANXA2	15
CAL1H	ANXA2	15
HEL-S-270	ANXA2	15
LIP2	ANXA2	15
LPC2	ANXA2	15
LPC2D	ANXA2	15
P36	ANXA2	15
PAP-IV	ANXA2	15
ANXA2P1	ANXA2P1	4
ANX2L1	ANXA2P1	4
ANX2P1	ANXA2P1	4
LPC2A	ANXA2P1	4
ANXA2P2	ANXA2P2	9
ANX2L2	ANXA2P2	9
ANX2P2	ANXA2P2	9
LPC2B	ANXA2P2	9
ANXA2P3	ANXA2P3	10
ANX2L3	ANXA2P3	10
ANX2P3	ANXA2P3	10
LIP2	ANXA2P3	10
LPC2C	ANXA2P3	10
ANXA3	ANXA3	4
ANX3	ANXA3	4
ANXA4	ANXA4	2
ANX4	ANXA4	2
